Generation,BestFitness,AverageFitness
1,0.613343,0.555502
2,0.613343,0.556164
3,0.613343,0.556164
4,0.614266,0.556256
5,0.631112,0.557941
6,0.631112,0.558533
7,0.631112,0.558726
8,0.631112,0.558726
9,0.631112,0.558726
10,0.631112,0.560548
11,0.631112,0.563923
12,0.631112,0.567495
13,0.631112,0.569413
14,0.631112,0.576163
15,0.639755,0.583072
16,0.639755,0.583072
17,0.639755,0.583072
18,0.639755,0.585891
19,0.639755,0.586118
20,0.639755,0.587394
21,0.639755,0.588671
22,0.639755,0.588671
23,0.639755,0.588671
24,0.645212,0.589217
25,0.645212,0.589217
26,0.645212,0.590269
27,0.645212,0.590269
28,0.645212,0.590269
29,0.649335,0.592092
30,0.649335,0.592092
